iter,R,split,G_rows,C_rows,tG_ms,tC_ms,wall_ms,Lprev,Lcurr
64,2.749333,0.733286,12014,4370,21.012608,21.825277,23.731658,0.000000,0.020619
65,2.749333,0.733286,12014,4370,20.530209,20.381868,22.910486,0.020619,0.000000
66,2.749333,0.733286,12014,4370,21.029057,20.288022,22.056021,0.000000,0.000000
67,2.749333,0.733286,12014,4370,21.020161,22.298825,24.163844,0.000000,0.010309
68,2.749333,0.733286,12014,4370,20.798431,20.922841,22.739978,0.010309,0.000000
69,2.749333,0.733286,12014,4370,21.003744,23.155501,25.081209,0.000000,0.020265
70,2.749333,0.733286,12014,4370,21.083361,22.042878,23.887387,0.000000,0.010417
71,2.749333,0.733286,12014,4370,20.634239,20.748803,22.565818,0.010417,0.000000
72,2.749333,0.733286,12014,4370,20.648352,21.136922,22.910025,0.000000,0.000000
73,2.749333,0.733286,12014,4370,21.028543,21.077658,22.830814,0.000000,0.000000
74,2.749333,0.733286,12014,4370,20.607872,20.353954,24.313248,0.000000,0.000000
75,2.749333,0.733286,12014,4370,20.647137,21.185563,22.953883,0.000000,0.049852
76,2.749333,0.733286,12014,4370,20.998400,19.962625,21.735292,0.000000,0.000000
77,2.749333,0.733286,12014,4370,21.021313,24.400350,26.430484,0.000000,0.000000
78,2.749333,0.733286,12014,4370,21.037504,21.667475,23.563869,0.000000,0.060309
79,2.749333,0.733286,12014,4370,21.021664,21.717545,23.607059,0.010309,0.000000
80,2.749333,0.733286,12014,4370,21.000320,19.745653,23.515382,0.000000,0.010417
81,2.749333,0.733286,12014,4370,20.629408,22.467308,24.412437,0.010417,0.010309
82,2.749333,0.733286,12014,4370,20.639072,20.430819,22.210829,0.010309,0.010309
83,2.749333,0.733286,12014,4370,20.424032,21.791785,23.720900,0.010309,0.010309
84,2.749333,0.733286,12014,4370,21.024160,21.939722,23.774065,0.010309,0.000000
85,2.749333,0.733286,12014,4370,20.666016,22.660696,24.601873,0.000000,0.000000
86,2.749333,0.733286,12014,4370,20.993919,22.105440,24.031769,0.000000,0.021053
87,2.749333,0.733286,12014,4370,20.646145,22.898745,24.797622,0.021053,0.020619
88,2.749333,0.733286,12014,4370,20.658848,21.179964,23.023730,0.020619,0.000000
89,2.749333,0.733286,12014,4370,21.035135,20.482425,22.268556,0.000000,0.010417
90,2.749333,0.733286,12014,4370,20.659552,20.890171,22.648845,0.010417,0.000000
91,2.749333,0.733286,12014,4370,21.064768,21.460168,23.317100,0.000000,0.010309
92,2.749333,0.733286,12014,4370,21.005056,21.280115,23.063705,0.010309,0.000000
93,2.749333,0.733286,12014,4370,21.073984,21.346717,23.134727,0.000000,0.010309
94,2.749333,0.733286,12014,4370,20.688513,22.885423,24.793602,0.010309,0.000000
95,2.749333,0.733286,12014,4370,21.074911,21.837482,23.826517,0.000000,0.000000
96,2.749333,0.733286,12014,4370,21.048704,22.547694,24.581645,0.000000,0.000000
97,2.749333,0.733286,12014,4370,20.710112,21.258419,23.095674,0.000000,0.000000
98,2.749333,0.733286,12014,4370,20.627424,22.069804,23.922963,0.000000,0.020619
99,2.749333,0.733286,12014,4370,21.023617,21.710560,23.592949,0.020619,0.000000
